LARP,"Bugbear, Grunt",3,"Large, green, shaggy biped.",Green makeup with black facial hair makeup.,15,Must Wear Rep,0,Normal,None.,2,"Entangle, Slow, Repel",None,Weapon (Any),4,0,Normal,None.,None.,Double damage from lightning.,"Weapon master. 
 Style master.",Fodder(Lesser),Goblinoid
LARP,"Bugbear, Elite",4,"Large, green, shaggy biped.",Green makeup with black facial hair makeup.,20,Must Wear Rep,0,Normal,As skills,2,"Entangle, Slow, Repel",None,Weapon (Any),4,5,Normal,None.,None.,Double damage from lightning.,"May possess PC skills, do not add character body.",Lackey(Lesser),Goblinoid
LARP,"Bugbear, Savant of the Lash",8,"Large, green, shaggy biped.",Green makeup with black facial hair makeup.,35,Must Wear Rep,0,Normal,8-7-6-5-4-3-2 (earth),3,"Entangle, Slow, Repel, Bind",None,Weapon (Any),5,6,Normal,Magic Bind x2.,None.,Double damage from lightning.,"Weapon master. 
 Style master.
 Read and write. 
 First aid. Healing arts.",Minion(Greater),Goblinoid
LARP,"Bugbear, Taskmaster",8,"Large, green, shaggy biped.",Green makeup with black facial hair makeup.,45,Must Wear Rep,0,Normal,None.,3,"Entangle, Slow, Repel, Bind",None,Weapon (Any),7,8,Normal,Magic Cause Critical Wounds x2.,"
 Resist Lightning x1.",Double damage from lightning.,"Weapon master. 
 Style master.
 Weapon proficiency +2. ^&",Minion(Greater),Goblinoid
LARP,"Bugbear, Sage of Pain",10,"Large, green, shaggy biped.",Green makeup with black facial hair makeup.,40,Must Wear Rep,0,Normal,6-5-4-3-2-1 (earth),3,"Entangle, Slow, Repel, Bind",None,Weapon (Any),5,6,Normal,None.,"Immune to necromantic damage spells (X spell Chaos). 
 Immune to flame, ice. 
 ",Double damage from lightning.,"Weapon master. 
 Style master.
 Read and write. 
 First aid. Healing arts.",Overlord(Greater),Goblinoid
LARP,"Bugbear, Rackmaster",12,"Large, green, shaggy biped.",Green makeup with black facial hair makeup.,55,Must Wear Rep,0,Normal,As skills.,3,"Entangle, Slow, Repel, Bind",None,Weapon (Any),5,6,Body,Magic Prison x1.,"
 Resist Poison x2.
 Resist Spell x1. 
 Bane lightning x2.",Double damage from lightning.,"May possess PC skills, do not add character body.",Master(Greater),Goblinoid
LARP,"Goblin, Grunt",1,Green Warty Biped,Green makeup on face. Goblins never have tusks.,10,Must Wear Rep,0,Low,None.,0,None,None,Weapon (One Handed),2,0,Normal,None.,None.,Double damage from stone.,One handed master.,Fodder(Lesser),Goblinoid
LARP,"Goblin, Grenadier",1,Green Warty Biped with red eyes.,Green makeup on face with red makeup around eyes. Red eyes should be clearly visible.,10,Must Wear Rep,0,Low,None.,0,None,None,Weapon (One Handed),2,0,Normal,None.,Explodes when struck by one weapon blow (non ranged) that inflicts 5 or more damage. Person striking goblin takes 40 points of flame damage. Does NOT have a radius effect. Spells do not trigger an explosion.,Double damage from stone.,One handed master.,Lackey(Lesser),Goblin
LARP,"Goblin, Apprentice Casta",3,Green Warty Biped,Green makeup on face. Goblins never have tusks.,10,Must Wear Rep,0,Low,4-3-2-1 (either),0,None,None,Weapon (One Handed),2,0,Normal,None.,None.,Double damage from stone.,"One handed master. 
 Read and write. 
 First aid. Healing arts.
 Read magic.",Minion(Greater),Goblinoid
LARP,"Goblin, Hedge Wizard",8,Green Warty Biped,Green makeup on face. Goblins never have tusks.,20,Must Wear Rep,0,Normal,7-6-5-4-3-2-1 (either),0,None,None,Weapon (One Handed),2,0,Normal,None.,Resist Spellx1.,Double damage from stone.,"One handed master. 
 Read and write. 
 Read magic. 
 First aid. Healing arts. 
 Herbal Lore. Alchemy 1. 
 Craftsman skills - goblin lore, monster lore, medicine.",Overlord(Greater),Goblinoid
LARP,"Goblin, Howling One",8,Green Warty Biped,Green makeup on face. Goblins never have tusks.,20,Must Wear Rep,0,Low,None.,2,"Entangle, Slow, Repel",None,Weapon (One Handed),6,0,Normal,Arcane Fear x1 (must howl before throwing the fear).,Resist Poison x1.,Double damage from stone.,"One handed master. 
 Style master. 
 Weapon proficiency +2. ^&",Servant(Lesser),Goblinoid
LARP,"Goblin, King",20,Green Warty Biped,Green makeup on face. Goblins never have tusks.,35,Must Wear Rep,3,Normal,None.,2,"Entangle, Slow, Repel",None,Weapon (One Handed),10,0,Normal,Control goblin by voice.,"Resist Spellx2. 
 Resist Poison x2.",Double damage from stone.,"One handed master. 
 Style master. 
 Weapon proficiency +6. 
 Slay x2. Improved Slay x1.
 Eviscerate x1.
 Parry x2.
 Riposte x1. ^&",Master(Greater),Goblinoid
LARP,Hobgoblin,2,Large Green Warty Biped,Green makeup and black wig (if available).,10,Must Wear Rep,0,Low,None.,0,None,None,Weapon (Any),2,3,Normal,None.,None.,Double damage from stone.,"Weapon master. 
 Style master.",Fodder(Lesser),Goblinoid
LARP,"Hobgoblin, Elite",3,Large Green Warty Biped,Green makeup and black wig (if available).,20,Must Wear Rep,0,Low,None.,0,None,None,Weapon (Any),2,3,Normal,None.,None.,Double damage from stone.,"Weapon master. 
 Style master.",Lackey(Lesser),Goblinoid
LARP,"Hobgoblin, Drill Sergeant",5,Large Green Warty Biped,Green makeup and black wig (if available).,20,Must Wear Rep,0,Low,None.,0,None,None,Weapon (Any),4,5,Normal,None.,None.,Double damage from stone.,"Weapon master.
 Style master.
 Weapon proficiency +2 ^&",Servant(Lesser),Goblinoid
LARP,"Hobgoblin, Naysayer",8,Large Green Warty Biped,Green makeup and black wig (if available).,20,Must Wear Rep,0,Normal,4-4-4-4-4-3-2-1 (either),0,None,None,Weapon (Any),2,3,Normal,Magic Shun x1.,None.,Double damage from stone.,"Weapon master. 
 Read and write. 
 Read magic. 
 First aid. Healing arts.",Lackey(Lesser),Goblinoid
LARP,"Hobgoblin, Strategist",9,Large Green Warty Biped,Green makeup and black wig (if available).,25,Must Wear Rep,0,Normal,4-4-4-4-4-3-2-1 (either),0,None,None,Weapon (Any),2,3,Normal,Magic Dominate x1.,Resist Command x1.,Double damage from stone.,"Weapon master.
 Read and write. 
 Read magic. 
 First aid. Healing arts.",Overlord(Greater),Goblinoid
LARP,"Hobgoblin, Master Mind",16,Large Green Warty Biped,Green makeup and black wig (if available).,35,Must Wear Rep,0,Normal,None.,3,None,None,Weapon (Any),9,10,Normal,"Arcane dominate x1. 
 Arcane Shun x1. 
 Arcane Silence x1. 
 Arcane Sleep x1.","Immune to command, silence. 
 Resist Spell x2. 
 Resist Poison x2.",Double damage from stone.,"Weapon master. Style master. 
 Read and write. Read magic. 
 First aid. Healing arts. 
 Herbal Lore. 
 Weapon proficiency +4. 
 Slay x2. Improved Slay x1.
 Parry x2. ^&",Overlord(Greater),Goblinoid
LARP,"Chaos Elemental, Shard (Havok)",3,"Chromatic colored, crackling figure.",Black makeup with swirling colors.,20,None,0,Low,None.,0,None,None,Claws (One Handed),2,0,Normal,10 Elemental Chaos x1.,"No metabolism. 
 Healed double by chaos or necromancy. 
 Immune to alteration, command, paralysis, poison, waylay. 
","Double damage from healing.
 Immune to life.
 Destroyed by prison.
 Disappears at 0 body.",None.,Lackey(Lesser),"Elemental, Magistarium"
LARP,"Chaos Elemental, Imp (Adhavok)",6,"Chromatic colored, crackling figure.",Black makeup with swirling colors.,35,None,0,Normal,None.,1,Entangle,None,Weapons and Claws (Any),3,4,Normal,10 Elemental Chaos x3.,"No metabolism.
 Healed double by chaos or necromancy. 
 Immune to alteration, command, paralysis, poison, waylay. 
 Cloak Healing x1.","Double damage from healing.
 Immune to life.
 Destroyed by prison.
 Disappears at 0 body.",Weapon master. Style master.,Lackey(Lesser),"Elemental, Magistarium"
LARP,"Chaos Elemental, Adept (Gremnis)",12,"Chromatic colored, crackling figure.",Black makeup with swirling colors.,45,None,0,Normal,9-8-7-6-5-4-3-2-1 (earth),2,"Entangle, Slow, Repel",None,Weapons and Claws (Any),4,5,Chaos,"10 Elemental Chaos x3. 
 20 Elemental Chaos x2.","No metabolism.
 Healed double by chaos or necromancy.
 Immune to alteration, command, paralysis, poison, waylay. 
 Cloak Healing x2. 
 Phase x2.","Double damage from healing.
 Immune to life.
 Destroyed by prison.
 Disappears at 0 body.","Weapon master. Style master.
 Read and write.
 First aid. Healing arts.",Servant(Lesser),"Elemental, Magistarium"
LARP,"Chaos Elemental, Lord (Caitiff)",16,"Chromatic colored, crackling figure.",Black makeup with swirling colors.,55,None,0,High,As skills.,4,"Entangle, Slow, Repel, Bind",None,Weapons and Claws (Any),6,7,Chaos,"Arcane Berserk x2.
 10 Elemental Chaos x5. 
 20 Elemental Chaos x3. 
 30 Elemental Chaos x2.","No metabolism.
 Healed double by chaos or necromancy.
 Immune to alteration, command, paralysis, poison, waylay. 
 Only affected by Body, Spell weapon attacks.
 Cloak Healing x3.
 Phase x3.","Double damage from healing.
 Immune to life.
 Destroyed by prison.
 Disappears at 0 body.","May possess PC skills, do not add character body. 
 Will always have earth spells.",Minion(Greater),"Elemental, Magistarium"
LARP,"Chaos Elemental, Knight (Vorteal)",18,"Chromatic colored, crackling figure.",Black makeup with swirling colors.,80,None,0,High,As skills.,6,"Entangle, Slow, Repel, Bind",Entangle,Weapons and Claws (Any),8,9,Chaos,"Arcane Berserk x5.
 20 Elemental Chaos x5. 
 30 Elemental Chaos x3.
 50 Elemental Chaos x2.","No metabolism.
 Healed double by chaos or necromancy.
 Immune to alteration, command, paralysis, poison, waylay. 
 Only affected by Body, Spell weapon attacks.
 Cloak Healing x3. 
 Phase x6.","Double damage from healing.
 Immune to life.
 Destroyed by prison.
 Disappears at 0 body.","May possess PC skills, do not add character body. 
 Will always have earth spells..",Minion(Greater),"Elemental, Magistarium"
LARP,"Death Elemental, Shard (Dirge)",5,"Small, black crackling form.",Black clothing and black makeup or faceless hood.,20,None,0,Low,None.,1,Entangle,None,Claws (One Handed),3,0,Normal,Channel spell Death x1.,"No metabolism.
 Healed to full by death.
 Immune to alteration, command, healing, necromancy, paralysis, poison, waylay.","Destroyed by life.
 Disappears at 0 body.",None.,Fodder(Lesser),"Elemental, Magistarium"
LARP,"Death Elemental, Imp (Enthropomite)",8,"Black, crackling form.",Black clothing and black makeup or faceless hood.,35,None,0,Normal,5-4-3-2-1 (earth),2,"Entangle, Slow, Repel",None,Weapons and Claws (Any),4,5,Normal,Arcane Death x1.,"No metabolism.
 Healed to full by death.
 Immune to alteration, command, healing, necromancy, paralysis, poison, waylay.
 Cloak Life x1.","Destroyed by life.
 Disappears at 0 body.","Weapon master. Style master.
 Read and write.
 First aid. Healing arts.",Lackey(Lesser),"Elemental, Magistarium"
